+-----------------------------+-------------+---------------------------------------+-------------------------------------------------------------------------+
|             Name            |    Rarity   |                  Type                 |                                   Link                                  |
|        Satyr Hoplite        |    Common   |       Creature—SatyrSoldier(1/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380493 |
|      Scourge of Fleets      |     Rare    |          Creature—Kraken(6/6)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380494 |
|       Setessan Tactics      |     Rare    |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380495 |
|      Sightless Brawler      |   Uncommon  | EnchantmentCreature—HumanWarrior(3/2) | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380496 |
|        Sigiled Skink        |    Common   |          Creature—Lizard(2/1)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380497 |
|       Sigiled Starfish      |    Common   |         Creature—Starfish(0/3)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380498 |
|    Silence the Believers    |     Rare    |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380499 |
|           Skybind           |     Rare    |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380500 |
|       Skyspear Cavalry      |   Uncommon  |       Creature—HumanSoldier(2/2)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380501 |
|     Solidarity of Heroes    |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380502 |
|       Spawn of Thraxes      |     Rare    |          Creature—Dragon(5/5)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380503 |
|          Spirespine         |   Uncommon  |     EnchantmentCreature—Beast(4/1)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380504 |
|        Spite of Mogis       |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380505 |
|        Spiteful Blow        |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380506 |
|      Squelching Leeches     |   Uncommon  |          Creature—Leech(*/*)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380507 |
|           Starfall          |    Common   |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380508 |
|     Stonewise Fortifier     |    Common   |       Creature—HumanWizard(2/2)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380509 |
|     Stormchaser Chimera     |   Uncommon  |         Creature—Chimera(2/3)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380510 |
|   Strength from the Fallen  |   Uncommon  |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380511 |
|      Supply-Line Cranes     |    Common   |           Creature—Bird(2/4)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380512 |
|       Swarmborn Giant       |   Uncommon  |          Creature—Giant(6/6)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380513 |
|      Temple of Epiphany     |     Rare    |                  Land                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380514 |
|       Temple of Malady      |     Rare    |                  Land                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380515 |
|     Tethmos High Priest     |   Uncommon  |        Creature—CatCleric(2/3)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380516 |
|      Thassa's Devourer      |    Common   |   EnchantmentCreature—Elemental(2/6)  | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380517 |
|         Thassa's Ire        |   Uncommon  |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380518 |
|     Thoughtrender Lamia     |   Uncommon  |     EnchantmentCreature—Lamia(5/3)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380519 |
|      Tormented Thoughts     |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380520 |
|        Triton Cavalry       |   Uncommon  |      Creature—MerfolkSoldier(2/4)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380521 |
|     Triton Shorestalker     |    Common   |       Creature—MerfolkRogue(1/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380522 |
|          Twinflame          |     Rare    |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380523 |
|     Underworld Coinsmith    |   Uncommon  |  EnchantmentCreature—HumanCleric(2/2) | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380524 |
|        War-Wing Siren       |    Common   |       Creature—SirenSoldier(1/3)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380525 |
|      Whitewater Naiads      |   Uncommon  |     EnchantmentCreature—Nymph(4/4)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380526 |
|      Wildfire Cerberus      |   Uncommon  |          Creature—Hound(4/3)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380527 |
|         Worst Fears         | Mythic Rare |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380528 |
|       Oakheart Dryads       |    Common   |  EnchantmentCreature—NymphDryad(2/3)  | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380464 |
|       Oppressive Rays       |    Common   |            Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380465 |
|      Oreskos Swiftclaw      |    Common   |        Creature—CatWarrior(3/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380466 |
|       Pensive Minotaur      |    Common   |     Creature—MinotaurWarrior(2/3)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380467 |
|      Phalanx Formation      |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380468 |
|  Pharika, God of Affliction | Mythic Rare | LegendaryEnchantmentCreature—God(5/5) | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380469 |
|       Pharika's Chosen      |    Common   |          Creature—Snake(1/1)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380470 |
|   Pheres-Band Thunderhoof   |    Common   |      Creature—CentaurWarrior(3/4)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380471 |
|     Pheres-Band Warchief    |     Rare    |      Creature—CentaurWarrior(3/3)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380472 |
|       Pin to the Earth      |    Common   |            Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380473 |
|      Polymorphous Rush      |     Rare    |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380474 |
|    Prophetic Flamespeaker   | Mythic Rare |       Creature—HumanShaman(1/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380475 |
|      Pull from the Deep     |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380476 |
|       Quarry Colossus       |   Uncommon  |          Creature—Giant(5/6)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380477 |
|     Ravenous Leucrocota     |    Common   |          Creature—Beast(2/4)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380478 |
|       Renowned Weaver       |    Common   |       Creature—HumanShaman(1/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380479 |
|           Reprisal          |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380480 |
|       Returned Reveler      |    Common   |       Creature—ZombieSatyr(1/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380481 |
|   Revel of the Fallen God   |     Rare    |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380482 |
|       Reviving Melody       |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380483 |
|     Riddle of Lightning     |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380484 |
|       Riptide Chimera       |   Uncommon  |    EnchantmentCreature—Chimera(3/4)   | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380485 |
|        Rise of Eagles       |    Common   |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380486 |
|    Ritual of the Returned   |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380487 |
|      Rollick of Abandon     |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380488 |
|         Rotted Hulk         |    Common   |        Creature—Elemental(2/5)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380489 |
|        Rouse the Mob        |    Common   |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380490 |
|        Sage of Hours        | Mythic Rare |       Creature—HumanWizard(1/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380491 |
|      Satyr Grovedancer      |    Common   |       Creature—SatyrShaman(1/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380492 |
|        Satyr Hoplite        |    Common   |       Creature—SatyrSoldier(1/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380493 |
|      Scourge of Fleets      |     Rare    |          Creature—Kraken(6/6)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380494 |
|       Setessan Tactics      |     Rare    |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380495 |
|      Sightless Brawler      |   Uncommon  | EnchantmentCreature—HumanWarrior(3/2) | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380496 |
|        Sigiled Skink        |    Common   |          Creature—Lizard(2/1)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380497 |
|       Sigiled Starfish      |    Common   |         Creature—Starfish(0/3)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380498 |
|    Silence the Believers    |     Rare    |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380499 |
|           Skybind           |     Rare    |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380500 |
|       Skyspear Cavalry      |   Uncommon  |       Creature—HumanSoldier(2/2)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380501 |
|     Solidarity of Heroes    |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380502 |
|       Spawn of Thraxes      |     Rare    |          Creature—Dragon(5/5)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380503 |
|          Spirespine         |   Uncommon  |     EnchantmentCreature—Beast(4/1)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380504 |
|        Spite of Mogis       |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380505 |
|        Spiteful Blow        |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380506 |
|      Squelching Leeches     |   Uncommon  |          Creature—Leech(*/*)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380507 |
|           Starfall          |    Common   |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380508 |
|     Stonewise Fortifier     |    Common   |       Creature—HumanWizard(2/2)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380509 |
|     Stormchaser Chimera     |   Uncommon  |         Creature—Chimera(2/3)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380510 |
|   Strength from the Fallen  |   Uncommon  |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380511 |
|      Supply-Line Cranes     |    Common   |           Creature—Bird(2/4)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380512 |
|       Swarmborn Giant       |   Uncommon  |          Creature—Giant(6/6)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380513 |
|      Temple of Epiphany     |     Rare    |                  Land                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380514 |
|       Temple of Malady      |     Rare    |                  Land                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380515 |
|     Tethmos High Priest     |   Uncommon  |        Creature—CatCleric(2/3)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380516 |
|      Thassa's Devourer      |    Common   |   EnchantmentCreature—Elemental(2/6)  | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380517 |
|         Thassa's Ire        |   Uncommon  |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380518 |
|     Thoughtrender Lamia     |   Uncommon  |     EnchantmentCreature—Lamia(5/3)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380519 |
|      Tormented Thoughts     |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380520 |
|        Triton Cavalry       |   Uncommon  |      Creature—MerfolkSoldier(2/4)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380521 |
|     Triton Shorestalker     |    Common   |       Creature—MerfolkRogue(1/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380522 |
|          Twinflame          |     Rare    |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380523 |
|     Underworld Coinsmith    |   Uncommon  |  EnchantmentCreature—HumanCleric(2/2) | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380524 |
|        War-Wing Siren       |    Common   |       Creature—SirenSoldier(1/3)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380525 |
|      Whitewater Naiads      |   Uncommon  |     EnchantmentCreature—Nymph(4/4)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380526 |
|      Wildfire Cerberus      |   Uncommon  |          Creature—Hound(4/3)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380527 |
|         Worst Fears         | Mythic Rare |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380528 |
+-----------------------------+-------------+---------------------------------------+-------------------------------------------------------------------------+
